titulo,url,autor,contenido
Authentic Assessment Toolbox,https://www.merlot.org/merlot/viewMaterial.htm?id=78423,"Jon Mueller,","The Authentic Assessment Toolbox site is a tutorial for learning all about authentic assessment. It is presented with hypertext and features creating authentic tasks, rubrics and standards for measuring and improving student learning. What is authentic assessment? Why do we need it? How do you do it? Answers to these questions as well as information on Standards, Rubrics, Portfolios, and Examples can be found here. Educators at all levels will find this site useful."
Evolution,https://www.merlot.org/merlot/viewMaterial.htm?id=76232,"Anne Zeiser, WGBH Press Contact and Clear Blue Sky Productions","This is a companion site to the PBS series Evolution. It contains numerous interactive exercises and simulations keyed to the episodes of the show. The Evolution Library has a large number of useful resources indexed by topic. While it is listed as a reference site, it contains animations, simulations, and tutorials as part of the larger site."
Ojala que llueva cafe,https://www.merlot.org/merlot/viewMaterial.htm?id=88706,"Barbara Kuczun Nelson,","A guided-reading selection in Spanish based on a song by Dominican artist Juan Luis Guerra, optional translation provided, related isolated practice provided for subjunctive with interactive responses. The multimedia and culture- based visuals make"
Interactive Music Skill Checks,https://www.merlot.org/merlot/viewMaterial.htm?id=76114,"David Megill,","A collection of interactive skill tests for music theory, musicianship and music appreciation."
Biological animations and tutorials,https://www.merlot.org/merlot/viewMaterial.htm?id=84051,"Sumanas, Inc.","Key biological concepts animated as narrated and stepped tutorials, along with quizzes."
WebQuest Page,https://www.merlot.org/merlot/viewMaterial.htm?id=91223,"Bernie Dodge,",Bernie Dodge of San Diego State University developed the idea of WebQuests to teach students how to effectively use the Internet for research. Webquests are
Virtual Chemistry Laboratory,https://www.merlot.org/merlot/viewMaterial.htm?id=89055,"David Yaron, Carnegie Mellon University",Here's your chance to mix chemicals without wearing safety goggles. You won't spill any acid on the spectrometer in this lab. Choose solutions from the vast database and mix 'em together till the cloned cows come home. Marvel as the chemical solutions react in real time.
Cut-the-Knot!,https://www.merlot.org/merlot/viewMaterial.htm?id=78198,"Alexander Bogomolny, Cut-the-knot.com",This site
IP Addressing and Subnetting,https://www.merlot.org/merlot/viewMaterial.htm?id=77772,"Charles C. Botsford, Learn to TCP/IP","IP addressing and subnetting tutorial presentation. Contains audio, video and assignments."
Spanish Proficiency Exercises,https://www.merlot.org/merlot/viewMaterial.htm?id=84519,"Orlando R. Kelm, University of Texas at Austin","Spanish Proficiency Exercises is a compilation of brief video clips in which native speakers of Spanish from various locations throughout Latin America and Spain demonstrate various language tasks. The site incorporates proficiency topics, divided by level of dificulty: Beginning, Intermediate, Advanced, Superior. The specific topics include video clips, vocabulary lists, phrases lists, and mini-grammar explanations."
